flow_idx,from_node,to_node,posterior_median,posterior_ci_lo,posterior_ci_hi,posterior_ci_width,relative_ci_width,obs: Other literature,obs: USGS value 1,obs: USGS value 2,n_observations,determined_by,prior_mean,prior_sd,contraction,shift_in_prior_sd,share_observations,share_mass_balance
111,die_cast,building_construction,19.26621394590363,4.82783964540366,33.051029171342066,28.223189525938405,1.4649058504792116,,19.0,,1,structure-determined,,,,,0.3747416400741597,0.6252583599258402
112,die_cast,transportation_auto,1005.2161521432013,757.6243503848372,1261.5693371510426,503.9449867662055,0.5013299733512583,,1001.0,,1,structure-determined,,,,,0.0005921585308,0.9994078414692
113,die_cast,transportation_other,152.29670494724135,39.77686636145575,265.7382587764945,225.96139241503874,1.4836919320960773,,153.0,,1,structure-determined,,,,,0.0132324071186581,0.986767592881342
114,die_cast,machine_industry,36.18462540104078,9.510542101666164,62.67194282588393,53.16140072421777,1.469170956864146,,36.0,,1,structure-determined,,,,,0.0821972061779579,0.917802793822042
115,die_cast,electrical_equipment,46.89916173503926,12.056963862054957,81.96764504614393,69.91068118408897,1.4906595043010624,,47.0,,1,structure-determined,,,,,0.106209901292635,0.8937900987073648
116,die_cast,consumer_durables,92.44669320947006,24.292839082864013,165.5256169142424,141.23277783137837,1.527721251330932,,96.0,,1,structure-determined,,,,,0.0352944685348216,0.9647055314651783
117,die_cast,other_end_uses,74.32111947627598,19.576225912812806,129.16512643318424,109.58890052037144,1.4745324248695322,,74.0,,1,structure-determined,,,,,0.0029141638618269,0.997085836138173
118,sand_cast,transportation_auto,206.7095866139853,150.78130002410603,263.1250236664175,112.34372364231149,0.5434857931969309,,242.0,,1,structure-determined,,,,,0.0007887368075801,0.9992112631924198
119,sand_cast,transportation_other,41.4176147309243,10.885169170583216,72.74624112336613,61.861071952782915,1.4935933021414338,,42.0,,1,structure-determined,,,,,0.0239195217748618,0.976080478225138
120,sand_cast,machine_industry,5.937224333166987,1.520437945980488,10.406444862869003,8.886006916888515,1.4966601257171315,,6.0,,1,structure-determined,,,,,0.4930300954470277,0.5069699045529723
121,sand_cast,electrical_equipment,7.9444159598173405,2.0800015727737944,13.950340239266799,11.870338666493005,1.4941738608014592,,8.0,,1,structure-determined,,,,,0.3967540144958818,0.6032459855041182
122,sand_cast,consumer_durables,15.70341587647964,4.122080259675837,27.817401841856846,23.69532158218101,1.5089278516575195,,16.0,,1,structure-determined,,,,,0.1456490769886933,0.8543509230113067
123,sand_cast,other_end_uses,15.162257900728463,3.8169681402314235,26.17632145796313,22.359353317731706,1.4746717450741595,,15.0,,1,structure-determined,,,,,0.0511596617364911,0.9488403382635088
