flow_idx,from_node,to_node,posterior_median,posterior_ci_lo,posterior_ci_hi,posterior_ci_width,relative_ci_width,obs: observation_2022,n_observations,determined_by,prior_mean,prior_sd,contraction,shift_in_prior_sd,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations
84,1xxx,other_milling_processes,53.14112419676348,12.193742185438255,93.6702226219981,81.47648043655984,1.5332095748460306,,0,structure-determined,56.27330479752844,28.116236328632866,0.4382199602807733,-0.1140192244914276,0.0,0.4155762096535762,0.5783623556076433,0.0060614347387804,0.0
85,2xxx,rolling,71.18442093060538,26.008614942407178,116.94191782180376,90.93330287939658,1.2774326417299022,,0,structure-determined,74.4028345987459,40.601569922624,0.6715282901831694,-0.0772035497533728,0.0,0.3800349596066639,0.6186678310721243,0.0012972093212118,0.0
86,2xxx,extrusion,72.51902697149205,26.673002106480592,118.32799345803862,91.65499135155802,1.2638750846393527,,0,structure-determined,72.52075883153483,40.49493315162361,0.6681658517097948,-2.975029504538352e-05,0.0,0.3802333182234912,0.6184225388757436,0.0013441429007651,0.0
87,2xxx,drawing,4.206540826683201,1.589896892583164,6.83758328774919,5.247686395166026,1.2475063505573423,,0,prior-informed,2.888159493778776,1.543598661786051,0.2348153376385254,0.8502836636738734,0.0,0.5440108798040674,0.3709063379002354,0.0850827822956971,0.0
88,2xxx,other_milling_processes,7.8158217268355505,3.3856308188485813,12.33396181216651,8.94833099331793,1.1448995775573947,,0,structure-determined,5.939523285412546,3.1304869187323394,0.4829134452590783,0.6102582291479401,0.0,0.4038086233091419,0.4993593537413937,0.0968320229494642,0.0
89,3xxx,rolling,1237.9414695608139,688.2355830411047,1771.058263925926,1082.8226808848212,0.8746961851669576,,0,structure-determined,1441.149434392954,656.9325537444499,0.8243779480324619,-0.3093590654101972,0.0,0.3544000645413786,0.6449699879281647,0.0006299475304565,0.0
90,3xxx,extrusion,324.26313359937734,115.93443503722064,543.2097469719436,427.27531193472294,1.3176808204864132,,0,structure-determined,354.72059240212,184.6230213177422,0.6468485835150136,-0.154150646890553,0.0,0.353088942459617,0.6411552594950399,0.0057557980453429,0.0
91,3xxx,drawing,45.22308434459493,13.827685981173804,78.52725177993658,64.69956579876278,1.4306756546227408,,0,prior-informed,32.15482952009061,20.438241449292207,0.3389156730046567,0.6582489017951626,0.0,0.5961532386596218,0.3919161164842821,0.011930644856096,0.0
92,3xxx,other_milling_processes,22.712780730664445,6.166488005698918,40.3914254957327,34.22493749003378,1.506858094386779,,0,structure-determined,18.187929315325235,9.325035901293887,0.1176880065451625,0.5076869214547443,0.0,0.4576371549528252,0.535083636566412,0.0072792084807628,0.0
93,4xxx,rolling,25.803244659221857,8.70326020175644,43.11797051300353,34.41471031124709,1.3337357671779302,,0,structure-determined,21.941110914600124,12.22152272466358,0.4918504056812895,0.316144172137717,0.0,0.4693608806721545,0.5275830336629341,0.0030560856649113,0.0
