node,flow_idx,share_mean,share_sd,n_out,source_year
25,49,0.0022150984384863687,0.00015988412495568653,9,2017
25,50,0.21236959686262816,0.013256759914508198,9,2017
25,51,0.0030102479327053146,0.00021760398972715656,9,2017
25,52,0.01711800243607825,0.00122058608947545,9,2017
25,53,0.0030634405594884575,0.00022083852561889477,9,2017
25,54,0.10727045000045504,0.006940536554464573,9,2017
25,70,0.10243468636715386,0.010141422741033449,9,2017
28,57,0.33383096326098893,0.0314680556993295,2,2017
28,63,0.6661690367390111,0.0314680556993295,2,2017
29,58,0.3364778645568485,0.03153443592242925,2,2017
29,64,0.6635221354431514,0.03153443592242925,2,2017
30,59,0.3332893048176719,0.031314617600566204,2,2017
30,65,0.6667106951823281,0.03131461760056621,2,2017
31,60,0.3338371221482199,0.03110738641648792,2,2017
31,66,0.6661628778517801,0.03110738641648792,2,2017
32,61,0.33321454142212803,0.03078789819520927,2,2017
32,67,0.666785458577872,0.03078789819520927,2,2017
33,62,0.3039607199765985,0.027843654312390193,3,2017
33,68,0.6060286823230697,0.029866355689266367,3,2017
33,69,0.0900105977003318,0.009793328610965752,3,2017
34,72,0.26017011770625104,0.07995131605074586,9,2017
34,80,0.00923176450633249,0.001435189626765736,9,2017
34,111,0.009835566395170407,0.004358440187398937,9,2017
34,112,0.5139822239916156,0.07319638330059715,9,2017
34,113,0.07843585419355352,0.034686601797947296,9,2017
34,114,0.018566144972920327,0.008195575781982904,9,2017
34,115,0.024050828420208586,0.010698340106324495,9,2017
34,116,0.0475976516646403,0.021530338779965543,9,2017
34,117,0.038129848149307644,0.016617297153792263,9,2017
36,74,0.38630568487200173,0.10190746374134924,7,2017
36,118,0.4325255234999139,0.08617469095223335,7,2017
36,119,0.087198919971758,0.04070742815122735,7,2017
36,120,0.012494415214238021,0.005836863164401104,7,2017
36,121,0.016668779098401233,0.007719177432932323,7,2017
36,122,0.0331364984599915,0.015437492337341176,7,2017
36,123,0.03167017888369569,0.014441441901839583,7,2017
38,76,0.2456353193693736,0.07664856204101846,7,2017
38,124,0.5036239352700653,0.07674148154960156,7,2017
38,125,0.09085528272343239,0.04050077250204017,7,2017
38,126,0.023513934317755475,0.010285060714389388,7,2017
38,127,0.030978831854324027,0.013808943404873531,7,2017
38,128,0.060723860036306275,0.02733925688177484,7,2017
38,129,0.044668836428742933,0.019347736250583236,7,2017
40,78,0.38849585504534034,0.1027264854502695,2,2017
40,130,0.6115041449546597,0.1027264854502695,2,2017
