flow_idx,flow_label,total_precision,share_observations,share_prior,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
126,permanent_semi_permanent_mold_cast -> machine_industry,0.03904942550658538,0.0,0.8607328118951031,0.13926718810489694,0.0,0,,,,,prior-informed,18.599121162097223,7.407008126741523,18.12271912875712,9.377604049102828,0.3761188569562519,0.05080210583061272
127,permanent_semi_permanent_mold_cast -> electrical_equipment,0.026420489978624027,0.0,0.7972934659663837,0.20270653403361633,0.0,0,,,,,prior-informed,21.37876222214403,8.812078198361657,23.841873478952827,12.528950869013974,0.5053166736053042,-0.19659357615492384
128,permanent_semi_permanent_mold_cast -> consumer_durables,0.017981275461756024,0.0,0.8462841774754469,0.15371582252455301,0.0,0,,,,,prior-informed,42.75882121885376,14.297893826765188,46.73434721135557,24.78712484021124,0.6672701016599901,-0.16038673376318574
129,permanent_semi_permanent_mold_cast -> other_end_uses,0.10426544809124917,0.0,0.9500894568750212,0.04991054312497872,0.0,0,,,,,prior-informed,30.69447412039516,10.550753960773367,34.42005221359269,17.628298415964736,0.641782990709022,-0.2113407661526498
130,other_cast -> other_end_uses,4.025367295027364,0.0,0.995386158802902,0.004613841197097931,0.0,0,,,,,prior-informed,22.775831884070204,2.639432438661954,25.155560494964337,3.0872187690811583,0.2690523268523183,-0.7708325158966323
131,import_mill_semifinished_products -> rolling,0.0008127709735727775,0.23087988342529864,0.44604502339250013,0.20516388951638434,0.11791120366581696,1,observation_2022,1460.0,1460.0,0.0,prior-informed,1219.8372039751794,37.714715936902955,1132.0209680989335,66.6334955280942,0.679641324856687,1.3178992814390253
132,import_mill_semifinished_products -> extrusion,9.394328675779223,0.021608466674616134,0.9782624346831044,0.00011889729558330398,1.0201346696085763e-05,1,observation_2022,44.39,44.39,0.0,prior-informed,9.137169633852263,0.19454636353115357,0.4230552818065736,0.33502244893017724,0.6627915748323852,26.010538636656605
133,import_mill_semifinished_products -> drawing,0.0493754848680242,0.0,0.9792519831399149,0.01880707786870582,0.001940938991379246,0,,,,,prior-informed,254.26149907065349,12.523265254464409,224.48020552180083,13.894059080218511,0.18758697727576035,2.143455226216318
134,import_mill_semifinished_products -> other_milling_processes,9.276384177105374,0.0,0.9998692606076873,0.00012040834069068316,1.0331051621937961e-05,0,,,,,prior-informed,0.554412507004286,0.29548786139681793,0.43026814879037073,0.33368367296284224,0.21583153187220172,0.3720420514183789
135,import_mill_semifinished_products -> sheet_plate,9.123362634932604,0.0,0.9998670675167937,0.00012242815408618335,1.0504329120017716e-05,0,,,,,prior-informed,0.40067147976168804,0.25642337904976575,0.4275551509988541,0.33586595659270535,0.41711448122150097,-0.08004285849597757
136,import_mill_semifinished_products -> foil,0.04133552696959344,0.44178715228245335,0.5330553123730148,0.02283907442666079,0.0023184609178709768,1,observation_2022,148.0,148.0,0.0,prior-informed,169.22399320305485,6.22290093020004,206.09149679803352,12.647132293350504,0.7578961749151738,-2.9150880009662377
137,import_mill_semifinished_products -> extruded_products,9.008627145725402,0.0,0.9998653744141629,0.0001239874716993984,1.0638114137521805e-05,0,,,,,prior-informed,0.3014941720148745,0.21907006953488437,0.426966925683222,0.3380285463867815,0.5799902844251354,-0.37118981520802724
138,import_mill_semifinished_products -> wire,7.835716871894871,0.9957612265142176,0.004116327860281041,0.0001102151167470126,1.2230508754386487e-05,1,observation_2022,7.16,7.16,0.0,observation-driven,7.3130829010461795,0.3608541351432951,301.8239577099109,18.254569076362802,0.9996092309112308,-16.13354298186181
139,import_mill_semifinished_products -> forging_impacts,9.565564322666562,0.0,0.9998732127576696,0.0001167685125861522,1.0018729744100298e-05,0,,,,,prior-informed,0.5163437340742782,0.28344133246565745,0.427061197600059,0.3355942990612037,0.28665895653674633,0.26604306665512345
140,import_mill_semifinished_products -> powerder_paste,4.619037970616316,0.2503125188853264,0.7494275724950098,0.00023916083529651534,2.0747784367275276e-05,1,observation_2022,18.6,18.6,0.0,prior-informed,16.59825595869087,0.6543087419872957,15.011950135250792,0.9135898265259077,0.4870642889628335,1.7363435727741146
141,rolling -> scrap_rolling,0.002598696319551029,0.0,0.9965110313521499,0.0034889686478500543,0.0,0,,,,,prior-informed,1351.3594807741174,264.188893990758,1684.2720951648496,675.3361571405992,0.8469655845500513,-0.4929583746860197
142,rolling -> sheet_plate,0.0004424554716312115,0.0002753669644099208,0.9950292650385347,0.004695367997055344,0.0,1,observation_2022,4002.691813,4002.691813,0.0,prior-informed,3928.020249593477,164.28571200132518,4592.981923311028,267.1519223430878,0.6218335632661627,-2.489076881369319
