flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
97,5xxx -> drawing,0.0845438268846812,0.0,0.5478871533497104,0.45211284665028956,0.0,0,,,,,prior-informed,68.37229349928539,22.816740254287588,41.014116396421045,23.113374611185677,0.025503058421177394,1.1836513517859224
98,5xxx -> other_milling_processes,0.13368393525999256,0.0,0.4158907101165898,0.5841092898834102,0.0,0,,,,,structure-determined,32.32743308574268,11.494927682800054,23.591596099263427,11.894540237055029,0.0660638905906843,0.7344409125847947
99,6xxx -> rolling,0.002160379859918334,0.0,0.39665856419483003,0.60334143580517,0.0,0,,,,,structure-determined,1246.1107108815138,484.9813136640329,948.233008182235,505.81932179999984,0.0806959334804247,0.5889013919817383
100,6xxx -> extrusion,0.003598372967486694,0.0,0.37951914323985503,0.620480856760145,0.0,0,,,,,structure-determined,1661.7957068171047,404.390273511918,2164.6937573382174,454.0673027050395,0.20683974550221607,-1.1075407709940162
101,6xxx -> drawing,0.07422795870236913,0.0,0.617391033830047,0.38260896616995294,0.0,0,,,,,prior-informed,53.612621750890305,22.929167203507618,46.605596953072364,24.47051441660587,0.1220083932309387,0.28634562717091566
102,6xxx -> other_milling_processes,0.22270102949325596,0.0,0.6934771206521155,0.30652287934788447,0.0,0,,,,,prior-informed,5.683175604472506,2.776322139981229,6.031554657321702,3.0818315795653892,0.188437613284261,-0.11304285904498562
103,7xxx -> rolling,0.06399531570946022,0.0,0.4147044886995174,0.5852955113004825,0.0,0,,,,,structure-determined,190.08217376087748,84.82251804161214,166.20239953828624,90.45996225757817,0.12075578987161117,0.2639816956212663
104,7xxx -> extrusion,0.06521174003039261,0.0,0.4113721568178463,0.5886278431821537,0.0,0,,,,,structure-determined,132.66761654014567,73.76888446369246,159.4537383905876,89.84810522787691,0.32589338881086893,-0.29812673046922616
105,7xxx -> drawing,0.5662441774085264,0.0,0.8859979325917497,0.11400206740825027,0.0,0,,,,,prior-informed,1.9481626681386361,1.223159587855017,2.9183130016361947,1.5533197864289077,0.37992460433577424,-0.6245657474871549
106,7xxx -> other_milling_processes,0.17720380247989637,0.0,0.41075934220828325,0.5892406577917167,0.0,0,,,,,structure-determined,194.38293452627852,78.9665533919895,179.85855277886935,83.60105794499903,0.10779876640312402,0.17373442519070426
107,8xxx -> rolling,2.71854811074222,0.0,0.38659145516789717,0.6134085448321029,0.0,0,,,,,structure-determined,6.048990590598668,3.155781953832037,7.051514547312161,3.6030395299162974,0.23285771305575742,-0.27824395163846094
108,8xxx -> extrusion,2.6587609488342525,0.0,0.37244831422198543,0.6275516857780146,0.0,0,,,,,structure-determined,29.887076298128264,15.83478415304393,36.44309442588579,17.998314763757165,0.2259649798688127,-0.36425733263423327
109,8xxx -> drawing,2.7206353734436166,0.0,0.37710231475271944,0.6228976852472806,0.0,0,,,,,structure-determined,40.07803722319252,18.625101847975582,31.597044001232373,19.760822485271333,0.11164351120772509,0.4291821976682107
110,8xxx -> other_milling_processes,3.16914775836205,0.0,0.45267930464991163,0.5473206953500883,0.0,0,,,,,structure-determined,3.193551796401712,1.4709923056679575,2.9982590054662337,1.5666693673619967,0.11841113044417662,0.1246547580516736
111,die_cast -> building_construction,0.03145481818974379,0.0,0.5370923951773526,0.4629076048226473,0.0,0,,,,,prior-informed,19.5912655482425,9.078348487809476,19.164687332093724,9.917587646409176,0.1620818354195478,0.04301229607012608
112,die_cast -> transportation_auto,0.007411701936067784,0.0,0.3066854202405551,0.6933145797594449,0.0,0,,,,,structure-determined,827.2441711701155,146.5447037819,1006.8743635669667,156.2998170709674,0.12093029117931053,-1.1492668114594835
113,die_cast -> transportation_other,0.012625296352174152,0.0,0.3529968316417335,0.6470031683582665,0.0,0,,,,,structure-determined,174.91605005669481,73.32055891668821,152.8585076937074,79.28950191671427,0.14489360492747094,0.2781899473420412
114,die_cast -> machine_industry,0.03563095455640057,0.0,0.408648509482345,0.5913514905176549,0.0,0,,,,,structure-determined,53.49603142845259,18.384508338431058,36.17418283422157,18.672235839039526,0.030581302899703178,0.9276794029140771
115,die_cast -> electrical_equipment,0.015997720910151166,0.0,0.4222190486404593,0.5777809513595408,0.0,0,,,,,structure-determined,59.86971842277895,23.36133165081786,46.857791803824334,24.383638156483244,0.08209406061184465,0.533633518322816
116,die_cast -> consumer_durables,0.011755940604461444,0.0,0.3698920551075391,0.6301079448924609,0.0,0,,,,,structure-determined,95.87255049981499,45.335823729383364,92.77938935757578,49.24441700555914,0.1524427922757533,0.06281242281515949
117,die_cast -> other_end_uses,0.2831580150885705,0.0,0.3067357408140972,0.6932642591859027,0.0,0,,,,,structure-determined,42.259216668724896,28.071088235412905,74.40502807958862,38.06082577865554,0.4560461119219348,-0.8445904878104629
118,sand_cast -> transportation_auto,0.06294850828585752,0.0,0.4646781056608793,0.5353218943391208,0.0,0,,,,,structure-determined,208.02540348327418,33.09286190759684,207.16713765837156,34.90821705489042,0.10130294458053157,0.024586355228428346
119,sand_cast -> transportation_other,0.07020738538630175,0.0,0.4768687050866204,0.5231312949133797,0.0,0,,,,,structure-determined,47.60779588197025,20.885794557722587,41.59883173190962,21.792989092946403,0.08152275651049223,0.27572923220548534
120,sand_cast -> machine_industry,0.1941966522686393,0.0,0.7444369344475619,0.2555630655524381,0.0,0,,,,,prior-informed,9.146996666026187,3.1104960708030895,5.95894410137715,3.1263564191760183,0.010120482510623696,1.0197342008398642
121,sand_cast -> electrical_equipment,0.1279716485207027,0.0,0.7046044765982986,0.29539552340170144,0.0,0,,,,,prior-informed,9.96564095443278,4.062699148470151,7.9578239401207105,4.155335679169663,0.04408979032589977,0.48319008843908384
122,sand_cast -> consumer_durables,0.08082197864987281,0.0,0.5549900427621908,0.4450099572378092,0.0,0,,,,,prior-informed,22.96856606392427,8.175198873232018,15.819072258092591,8.3281666774584,0.03639768274625976,0.8584715079229864
123,sand_cast -> other_end_uses,0.35354548052282553,0.0,0.36397884391365887,0.6360211560863411,0.0,0,,,,,structure-determined,12.327714712899473,6.6390718802659086,15.102773788863784,7.699445830572603,0.25647460610150674,-0.3604232222720803
124,permanent_semi_permanent_mold_cast -> transportation_auto,0.03508760832582023,0.0,0.3414854508371844,0.6585145491628157,0.0,0,,,,,structure-determined,353.12323401519296,64.67762956755769,389.42404000456395,66.27419647582101,0.04760030553596095,-0.5477366444211014
125,permanent_semi_permanent_mold_cast -> transportation_other,0.04102087113009645,0.0,0.36286905699291144,0.6371309430070886,0.0,0,,,,,structure-determined,109.18428085105592,36.025962728876785,69.90871033849609,36.578509122729535,0.029983347532845817,1.0737334969224965
126,permanent_semi_permanent_mold_cast -> machine_industry,0.07264859946943777,0.0,0.46265340370823405,0.5373465962917658,0.0,0,,,,,structure-determined,18.259905595627647,8.662602697338905,18.12271912875712,9.377604049102828,0.1466778684666581,0.014629159660846705
127,permanent_semi_permanent_mold_cast -> electrical_equipment,0.04827512199941068,0.0,0.4363507155475321,0.563649284452468,0.0,0,,,,,structure-determined,22.09591950103163,11.432503380585382,23.841873478952827,12.528950869013974,0.1673676803621993,-0.1393535656875477
128,permanent_semi_permanent_mold_cast -> consumer_durables,0.040591840053438535,0.0,0.3748849250016342,0.6251150749983659,0.0,0,,,,,structure-determined,42.874475912822334,22.141752095167938,46.73434721135557,24.78712484021124,0.202057384808618,-0.15572081568216045
129,permanent_semi_permanent_mold_cast -> other_end_uses,0.313331894075546,0.0,0.3161551850318863,0.6838448149681138,0.0,0,,,,,structure-determined,29.065739687735086,15.188803664373964,34.42005221359269,17.628298415964736,0.2576198532949937,-0.3037339395734629
130,other_cast -> other_end_uses,10.691682182120157,0.0,0.37475813640146655,0.6252418635985334,0.0,0,,,,,structure-determined,22.35957502135444,3.0649053070862613,25.155560494964337,3.0872187690811583,0.014403141635508487,-0.9056648338666516
131,import_mill_semifinished_products -> rolling,0.0009394374447544846,0.1997498275992086,0.38590376607221566,0.312333436403101,0.10201296992547478,1,observation_2022,1460.0,1460.0,0.0,structure-determined,1401.9868351160774,43.37038142131883,1132.0209680989335,66.6334955280942,0.5763557755026814,4.051503900216672
132,import_mill_semifinished_products -> extrusion,9.394434408086498,0.021608223476043558,0.9782514245530798,0.00013015073899440315,1.0201231882156937e-05,1,observation_2022,44.39,44.39,0.0,prior-informed,9.131769435993927,0.1969277247339952,0.4230552818065736,0.33502244893017724,0.6544857938025366,25.994419723205937
133,import_mill_semifinished_products -> drawing,0.0758371298581638,0.0,0.6375642322690382,0.3611720753420509,0.0012636923889108335,0,,,,,prior-informed,245.26578831813515,13.436280495147313,224.48020552180083,13.894059080218511,0.06481002929367974,1.496005067801067
